_id,rental,distric,bc,community,size,city,renta_type,rent_type,house_type
ObjectId(6082ec07b68def970852e208),600,北碚租房,蔡家租房,隆鑫爱琴海租房,面积：43㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec08b68def970852e209),2600,九龙坡租房,袁家岗租房,中新城上城租房,面积：100㎡,重庆链家网,"租赁方式：整租 蒋建军
新凯公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec09b68def970852e20a),1200,九龙坡租房,杨家坪租房,斌鑫新华苑二期租房,面积：49㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec0ab68def970852e20b),1199,九龙坡租房,石桥铺租房,汇祥荟广场租房,面积：26㎡,重庆链家网,"租赁方式：整租 廖中豪
每客逸家 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec0bb68def970852e20c),2700,九龙坡租房,谢家湾租房,华润二十四城二期租房,面积：75㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec0cb68def970852e20d),700,沙坪坝租房,西永租房,重庆融创万达文化旅游城御林租房,面积：80㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec0db68def970852e20e),5500,渝北租房,冉家坝租房,龙湖大城小院租房,面积：155㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec0eb68def970852e20f),2200,江北租房,海尔路租房,保利观澜漫城租房,面积：97㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec0eb68def970852e210),1400,沙坪坝租房,西永租房,西著七里租房,面积：33㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec10b68def970852e211),2100,南岸租房,四公里租房,绿洲龙城租房,面积：94㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec11b68def970852e212),1800,江北租房,大石坝租房,华润中央公园租房,面积：87㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec12b68def970852e213),1198,大渡口租房,步行街租房,蓝光中央广场租房,面积：26㎡,重庆链家网,"租赁方式：整租 廖磊
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec13b68def970852e214),2200,渝北租房,照母山租房,万科城租房,面积：86㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec14b68def970852e215),1348,九龙坡租房,石桥铺租房,鹏润悦秀城租房,面积：35㎡,重庆链家网,"租赁方式：整租 李雪梅
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec14b68def970852e216),2500,九龙坡租房,谢家湾租房,艾佳沁园租房,面积：101㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec15b68def970852e217),1297,九龙坡租房,石桥铺租房,汇祥荟广场租房,面积：26㎡,重庆链家网,"租赁方式：整租 李雪梅
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec16b68def970852e218),12000,江北租房,观音桥租房,龙湖唐宁one租房,面积：160㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec17b68def970852e219),1397,南岸租房,南坪租房,升伟一里南滨租房,面积：30㎡,重庆链家网,"租赁方式：整租 刘宗宝
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec1cb68def970852e21a),2000,九龙坡租房,动物园租房,卓越中寰租房,面积：44㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec1cb68def970852e21b),1297,九龙坡租房,石桥铺租房,鹏润悦秀城租房,面积：45㎡,重庆链家网,"租赁方式：整租 陈康康
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec1fb68def970852e21c),1500,江北租房,观音桥租房,建北一村租房,面积：70㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec22b68def970852e21d),1250,南岸租房,弹子石租房,泽京微V租房,面积：32㎡,重庆链家网,"租赁方式：整租 谢刚
织家公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec23b68def970852e21e),2300,江北租房,观音桥租房,半山华府租房,面积：81㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec24b68def970852e21f),1200,南岸租房,弹子石租房,华润凯旋天地租房,面积：35㎡,重庆链家网,"租赁方式：整租 袁发兴
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec25b68def970852e220),1700,南岸租房,南坪租房,奥创卡门时光租房,面积：43㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec26b68def970852e221),1300,南岸租房,弹子石租房,锦江华府租房,面积：35㎡,重庆链家网,"租赁方式：整租 黄限良
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec27b68def970852e222),2400,江北租房,海尔路租房,保利观澜悦城租房,面积：111㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec29b68def970852e223),1500,九龙坡租房,杨家坪租房,艾佳天泰租房,面积：43㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec2bb68def970852e224),3500,渝北租房,冉家坝租房,橄榄郡租房,面积：124㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec2cb68def970852e225),1900,南岸租房,南坪租房,雅典汇租房,面积：82㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec2db68def970852e226),1500,沙坪坝租房,大学城租房,协信城立方西一期租房,面积：69㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec2eb68def970852e227),1395,南岸租房,南坪租房,升伟一里南滨租房,面积：27㎡,重庆链家网,"租赁方式：整租 罗卓
创臻国际公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec2fb68def970852e228),3000,渝中租房,解放碑租房,雅地天际租房,面积：74㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec2fb68def970852e229),1250,南岸租房,弹子石租房,华润凯旋天地租房,面积：32㎡,重庆链家网,"租赁方式：整租 黄限良
若航寓弹子石店 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ec30b68def970852e22a),3200,江北租房,五里店租房,融景城尚峰租房,面积：101㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec32b68def970852e22b),2000,南岸租房,弹子石租房,中国核建紫金一品租房,面积：73㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec33b68def970852e22c),7500,江北租房,北滨路租房,国兴北岸江山西区租房,面积：185㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ec34b68def970852e22d),1000,渝北租房,回兴租房,正能雅舍租房,面积：53㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecb4ccda126d15ae978c),1700,沙坪坝租房,大学城租房,金科廊桥水乡四组团租房,面积：69㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecb5ccda126d15ae978d),5500,渝北租房,照母山租房,万科悦峰租房,面积：139㎡,重庆链家网,"租赁方式：整租 KevinYang
斯裴思 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecb6ccda126d15ae978e),1950,沙坪坝租房,大学城租房,富力城地壹站租房,面积：77㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecb8ccda126d15ae978f),20000,渝北租房,照母山租房,万科悦府租房,面积：194㎡,重庆链家网,"租赁方式：整租 KevinYang
斯裴思 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecbaccda126d15ae9790),2200,渝中租房,解放碑租房,中驰半岛租房,面积：90㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecbcccda126d15ae9791),2300,渝中租房,大坪租房,国宾豪庭一期快乐空间租房,面积：68㎡,重庆链家网,"租赁方式：整租 张伟
新凯公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecbeccda126d15ae9792),1600,渝中租房,大坪租房,大黄路中交二航局家属院租房,面积：94㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecbfccda126d15ae9793),2200,南岸租房,南坪租房,贝迪新城一期租房,面积：82㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc2ccda126d15ae9794),1500,江北租房,海尔路租房,保利观澜漫城租房,面积：75㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc3ccda126d15ae9795),4500,渝中租房,化龙桥租房,雍江翠璟租房,面积：118㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc4ccda126d15ae9796),3000,江北租房,江北嘴租房,中海紫御江山紫峰租房,面积：113㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc5ccda126d15ae9797),2600,九龙坡租房,袁家岗租房,中新城上城租房,面积：100㎡,重庆链家网,"租赁方式：整租 蒋建军
新凯公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecc6ccda126d15ae9798),2200,北碚租房,蔡家租房,东原嘉阅湾风华著B区租房,面积：110㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc6ccda126d15ae9799),1198,大渡口租房,步行街租房,蓝光中央广场租房,面积：26㎡,重庆链家网,"租赁方式：整租 廖磊
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecc7ccda126d15ae979a),2600,渝北租房,冉家坝租房,龙德商住楼租房,面积：98㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc7ccda126d15ae979b),1500,渝中租房,大坪租房,e动力广场租房,面积：83㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc8ccda126d15ae979c),1500,沙坪坝租房,大学城租房,鸥鹏泊雅湾北区租房,面积：54㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecc9ccda126d15ae979d),1800,江北租房,五里店租房,珠江太阳城C区租房,面积：71㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082eccaccda126d15ae979e),2200,南岸租房,南坪租房,万达广场银邸租房,面积：69㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082eccbccda126d15ae979f),1250,九龙坡租房,谢家湾租房,保利港湾国际租房,面积：138㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecccccda126d15ae97a0),2500,江北租房,观音桥租房,洋河二村租房,面积：95㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082eccdccda126d15ae97a1),1348,九龙坡租房,石桥铺租房,鹏润悦秀城租房,面积：35㎡,重庆链家网,"租赁方式：整租 李雪梅
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082eccfccda126d15ae97a2),2500,南岸租房,六公里租房,美堤雅城A区租房,面积：125㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082eccfccda126d15ae97a3),1297,九龙坡租房,石桥铺租房,汇祥荟广场租房,面积：26㎡,重庆链家网,"租赁方式：整租 李雪梅
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecd2ccda126d15ae97a4),1000,南岸租房,融侨半岛租房,金辉御江府租房,面积：98㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecd3ccda126d15ae97a5),1397,南岸租房,南坪租房,升伟一里南滨租房,面积：30㎡,重庆链家网,"租赁方式：整租 刘宗宝
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecd5ccda126d15ae97a6),3200,渝北租房,汽博中心租房,融创御锦租房,面积：106㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecd7ccda126d15ae97a7),1297,九龙坡租房,石桥铺租房,鹏润悦秀城租房,面积：45㎡,重庆链家网,"租赁方式：整租 陈康康
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecd9ccda126d15ae97a8),1200,渝北租房,回兴租房,南方玫瑰城橙瑰苑租房,面积：53㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecdaccda126d15ae97a9),1398,南岸租房,南坪租房,升伟一里南滨租房,面积：26㎡,重庆链家网,"租赁方式：整租 庄明月
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecdbccda126d15ae97aa),2300,渝中租房,大坪租房,嘉华鑫城租房,面积：108㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecdcccda126d15ae97ab),1297,九龙坡租房,石桥铺租房,汇祥荟广场租房,面积：26㎡,重庆链家网,"租赁方式：整租 李雪梅
袋鼠青年公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecdcccda126d15ae97ac),3000,渝北租房,礼嘉租房,龙湖悠山庭院租房,面积：132㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecddccda126d15ae97ad),1768,九龙坡租房,石坪桥租房,万科西九租房,面积：45㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecdeccda126d15ae97ae),3000,沙坪坝租房,沙正街租房,电力小区(沙坪坝)租房,面积：121㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecdfccda126d15ae97af),1150,南岸租房,弹子石租房,泽京微V租房,面积：33㎡,重庆链家网,"租赁方式：整租 谢刚
织家公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ece0ccda126d15ae97b0),2700,渝北租房,黄泥磅租房,紫荆商业广场租房,面积：69㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece1ccda126d15ae97b1),850,沙坪坝租房,小龙坎租房,文化村1到4号租房,面积：41㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece2ccda126d15ae97b2),1000,渝中租房,大坪租房,长江二路租房,面积：60㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece3ccda126d15ae97b3),3000,南岸租房,南坪租房,金信大厦租房,面积：110㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece4ccda126d15ae97b4),1100,沙坪坝租房,大学城租房,启迪协信城立方租房,面积：38㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece5ccda126d15ae97b5),1200,南岸租房,弹子石租房,泽京微V租房,面积：32㎡,重庆链家网,"租赁方式：整租 谢刚
织家公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ece6ccda126d15ae97b6),2200,九龙坡租房,陈家坪租房,春风与湖租房,面积：84㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece8ccda126d15ae97b7),1250,南岸租房,弹子石租房,泽京微V租房,面积：32㎡,重庆链家网,"租赁方式：整租 谢刚
织家公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ece9ccda126d15ae97b8),1600,渝北租房,汽博中心租房,枫桥水郡租房,面积：80㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ece9ccda126d15ae97b9),2400,巴南租房,龙洲湾租房,典雅中央广场租房,面积：117㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082eceaccda126d15ae97ba),1400,南岸租房,茶园新区租房,同景国际城W组团租房,面积：58㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ececccda126d15ae97bb),1300,南岸租房,南坪租房,浪高会展国际广场租房,面积：28㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecedccda126d15ae97bc),3000,渝中租房,解放碑租房,熊猫公馆租房,面积：63㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082eceeccda126d15ae97bd),2000,渝北租房,北环租房,金科蚂蚁租房,面积：38㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecefccda126d15ae97be),2900,南岸租房,南坪租房,协信城租房,面积：86㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecf0ccda126d15ae97bf),1715,九龙坡租房,石坪桥租房,万科西九租房,面积：68㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecf2ccda126d15ae97c0),2500,九龙坡租房,黄桷坪租房,保利心语花园租房,面积：111㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecf2ccda126d15ae97c1),1600,渝北租房,回兴租房,万科朗润园租房,面积：75㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecf4ccda126d15ae97c2),2300,渝北租房,龙头寺租房,江南花苑租房,面积：113㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecf5ccda126d15ae97c3),1050,南岸租房,弹子石租房,泽京微V租房,面积：32㎡,重庆链家网,"租赁方式：整租 许上勇
织家公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecf7ccda126d15ae97c4),1300,渝北租房,空港新城租房,中航翡翠城一期一组团租房,面积：250㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecf8ccda126d15ae97c5),900,九龙坡租房,石坪桥租房,万科西九租房,面积：27㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecf9ccda126d15ae97c6),1600,渝北租房,空港新城租房,泰硕明天A区租房,面积：76㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecfaccda126d15ae97c7),1250,九龙坡租房,石桥铺租房,鹏润悦秀城租房,面积：37㎡,重庆链家网,"租赁方式：整租 周作军
KK公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecfbccda126d15ae97c8),3000,江北租房,黄泥磅租房,流星花园租房,面积：134㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecfcccda126d15ae97c9),3100,渝中租房,大坪租房,万科锦程租房,面积：98㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecfdccda126d15ae97ca),1600,巴南租房,融汇半岛租房,融汇半岛二期租房,面积：76㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ecfeccda126d15ae97cb),1800,沙坪坝租房,西永租房,首创光和城三期租房,面积：72㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ecffccda126d15ae97cc),2000,渝中租房,大坪租房,奥园康城A区租房,面积：79㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed02ccda126d15ae97cd),2200,江北租房,大石坝租房,首创鸿恩国际生活区租房,面积：75㎡,重庆链家网,"租赁方式：整租 杨春红
万科物业 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed02ccda126d15ae97ce),2500,南岸租房,南坪租房,云满庭B区租房,面积：125㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed03ccda126d15ae97cf),3000,江北租房,江北嘴租房,恒大中央广场二期租房,面积：124㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed04ccda126d15ae97d0),1500,沙坪坝租房,大学城租房,旭阳台北城敦化里租房,面积：68㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed08ccda126d15ae97d1),800,渝北租房,悦来租房,北大资源悦来峰尚租房,面积：93㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed09ccda126d15ae97d2),1200,沙坪坝租房,凤天路租房,万科金色悦城租房,面积：35㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed0bccda126d15ae97d3),1250,南岸租房,弹子石租房,华润凯旋天地租房,面积：32㎡,重庆链家网,"租赁方式：整租 黄限良
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed0cccda126d15ae97d4),1500,渝中租房,解放碑租房,民生巷社区租房,面积：54㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed0cccda126d15ae97d5),1300,南岸租房,弹子石租房,华润凯旋天地租房,面积：35㎡,重庆链家网,"租赁方式：整租 周燚
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed0eccda126d15ae97d6),2000,沙坪坝租房,大学城租房,龙湖U城听蓝时光租房,面积：71㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed0eccda126d15ae97d7),1800,大渡口租房,建设村租房,美德家园租房,面积：68㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed11ccda126d15ae97d8),2200,南岸租房,融侨半岛租房,诚投天邻水岸租房,面积：70㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed12ccda126d15ae97d9),1700,沙坪坝租房,凤天路租房,万科金色悦城四期租房,面积：75㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed14ccda126d15ae97da),2800,渝北租房,龙头寺租房,上品拾陆租房,面积：92㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed16ccda126d15ae97db),3200,渝北租房,嘉州租房,中渝山顶道国宾城租房,面积：83㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed17ccda126d15ae97dc),1500,长寿租房,长寿租房,新康璞山租房,面积：75㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed1accda126d15ae97dd),1150,南岸租房,弹子石租房,华润凯旋天地租房,面积：32㎡,重庆链家网,"租赁方式：整租 黄限良
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed1fccda126d15ae97de),2400,渝北租房,嘉州租房,城市今典租房,面积：110㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed1fccda126d15ae97df),1200,南岸租房,弹子石租房,华润凯旋天地租房,面积：35㎡,重庆链家网,"租赁方式：整租 周燚
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed20ccda126d15ae97e0),2400,江北租房,五里店租房,御庭苑租房,面积：107㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed24ccda126d15ae97e1),1500,南岸租房,弹子石租房,中国核建紫金一品租房,面积：38㎡,重庆链家网,"租赁方式：整租 袁发兴
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed26ccda126d15ae97e2),2500,渝北租房,鸳鸯租房,融科金湖湾租房,面积：110㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed27ccda126d15ae97e3),1400,南岸租房,弹子石租房,中国核建紫金一品租房,面积：35㎡,重庆链家网,"租赁方式：整租 周燚
若航寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed28ccda126d15ae97e4),4000,沙坪坝租房,凤天路租房,华宇城租房,面积：124㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed29ccda126d15ae97e5),1000,渝北租房,回兴租房,万科朗润园租房,面积：26㎡,重庆链家网,"租赁方式：整租 晏蜀荣
背包客公寓.重庆 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed2bccda126d15ae97e6),1100,渝北租房,人和租房,华夏城三区租房,面积：138㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed2bccda126d15ae97e7),1198,大渡口租房,步行街租房,蓝光中央广场租房,面积：35㎡,重庆链家网,"租赁方式：整租 董浩
创臻国际公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed2cccda126d15ae97e8),2600,渝北租房,中央公园租房,鲁能城中央公馆二期租房,面积：77㎡,重庆链家网,租赁方式：整租,,
ObjectId(6082ed2fccda126d15ae97e9),1296,九龙坡租房,二郎租房,保利九悦荟租房,面积：39㎡,重庆链家网,"租赁方式：整租 朱送民
创臻国际公寓 管家
电话咨询
为了保证您的隐私安全，此虚拟号码有效期为30分钟
在线咨询
免费拨打无骚扰",,
ObjectId(6082ed31ccda126d15ae97ea),1800,渝北租房,鸳鸯租房,复地上城国际公寓租房,面积：42㎡,重庆链家网,租赁方式：整租,,
